key,translation,Kurdish Translation,Translated By:,ملاحظة 
homepage.safa,SAFA,سەفا,,
homepage.subtitle,An open source AI-enabled classifier to detect and analyze online gender based hate speech in different Arabic dialects.,پۆلێنکارێکی سەرچاوەکراوەی پاڵپشتیکراوە بە ژیری دەستکرد، بۆ دۆزینەوەی گوتاری ڕقوکینە لەسەر بنەمای جۆری کۆمەڵایەتی لەسەر ئینتەرنت و شیکارکردنی بە زاراوەی کوردی سۆرانی و زاراوە عەرەبییە جیاوازەکان.,,
homepage.login,Login,چوونەژوورەوە,,
homepage.howItWorks,How it works?,چۆن کاردەکات؟,,
homepage.howItWorksSubtitle,Classifying different types of online gender based hate speech and analyze texts depending on the Arabic dialect chosen.,پۆلێنی جۆرە جیاوازەکانی گوتاری ڕقوکینە لەسەر بنەمای جۆری کۆمەڵایەتی (جێندەر) لەسەر ئینتەرنت و شیکاری دەقەکان بەپێی زاراوەی سۆرانی (کوردی) و زاراوەی عێراقی (عەرەبی),,
homepage.learnMore,Learn More,زیاتر بزانە,,
homepage.ourPublications,Our Publications,بڵاوکراوەکانمان,,
homepage.readMore,Read More,زیاتر بخوێنەوە,,
homepage.getStarted,Get Started,دەست پێ بکە,,
links.general.login,Login,چوونەژوورەوە,,
links.general.logout,Logout,دەرچوون,,
links.general.publications,Publications,بڵاوکراوەکان,,
links.general.analyze,Analyze,شیکارکردن,,
links.general.about,About Us,دەربارەی ئێمە,,
links.footer.privacy,Privacy Policy,سیاسەتی پاراستنی تایبەتمەندێتی ,,
links.footer.terms,Terms of Service,مەرجەکانی خزمەتگوزاری,,
links.footer.copyright,Jordan Open Source Association (JOSA) Â© 2021â€”2025,کۆمەڵەی سەرچاوە کراوەی ئوردن (JOSA) ٢٠٢١-٢٠٢٥ © ,,
links.social.github,GitHub,GitHub,,گوگڵ
links.social.linkedin,LinkedIn,LinkedIn,,لینکدن
links.social.instagram,Instagram,Instagram,,ئینستاگرام
settings.regionLanguage.title,Region & Language,ناوچە و زمان,,
settings.regionLanguage.language,Language,زمان,,
settings.regionLanguage.region,Region,ناوچە ,,
settings.regionLanguage.detectedLocation,Detected Location,شوێنی دیاری کراو,,
settings.regionLanguage.apply,Apply Changes,گۆڕانکارییەکان جێبەجێ بکە,,
settings.regionLanguage.selectDialect,Select AI Dialect,زاری ژیری دەستکرد هەڵبژێرە,,
misc.cancel,Cancel,پاشگەزبوونەوە,,
misc.close,Close,داخستن,,
misc.expandText,Expand Text Field,مەودای نووسینی دەق فراوان بکە,,
misc.or,or,یان,,
misc.loading,Loading...,بارکردن...,,
misc.retry,Try Again,دووبارە هەوڵبدەرەوە,,
misc.welcomeUser,"Welcome, {name}!",بەخێر بێیت، {ناو}!,,
misc.userMenu,User Menu,پێڕستی بەکارهێنەر,,
misc.pagination.previous,Previous,پێشووتر,,
misc.pagination.next,Next,دواتر,,
misc.pagination.page,Page {page},لاپەڕە {لاپەڕە},,
misc.pagination.of,of {total},لە {کۆی گشتی},,
analyze.page.title,Analyze Comments,شیکاری کۆمێنتەکان,,
analyze.page.subtitle,Analyze Arabic text and files to detect hate speech across regional dialects.,شیکاری دەق و فایلەکانی  کوردی/عەرەبی بۆ دیاریکردنی گوتاری ڕقوکینە لە سەرانسەری زاراوە ناوچەییەکان.,,
analyze.form.textInput,Text Input,تێکردنی دەق,,
analyze.form.fileUpload,File Upload,بارکردنی فایل,,
analyze.form.regionTitle,Region for the AI Model Dialect,ناوچەی زاری مۆدێلی ژیری دەستکردەکە,,
analyze.form.help,Help,یارمەتیدان,,
analyze.form.textPlaceholder,Add text,دەق زیاد بکە,,
analyze.form.filePlaceholder,Upload or Drop File,بارکردن یان تێکردنی فایل,,
analyze.form.selectedFile,Selected file: {filename},فایلی هەڵبژێردراو: {ناوی فایل},,
analyze.help.title,Input Format Help,یارمەتیدان لە ڕێکخستنی تێکراوەکان,,
