key,translation
homepage.nuha,Nuha
homepage.subtitle,"An open source AI-enabled classifier to detect and analyze online gender based hate speech in different Arabic dialects."
homepage.login,Login
homepage.howItWorks,How it works?
homepage.howItWorksSubtitle,"Classifying different types of online gender based hate speech and analyze texts depending on the Arabic dialect chosen."
homepage.learnMore,Learn More
homepage.ourPublications,Our Publications
homepage.readMore,Read More
homepage.getStarted,Get Started
links.general.login,Login
links.general.logout,Logout
links.general.publications,Publications
links.general.analyze,Analyze
links.general.about,About Us
links.footer.privacy,Privacy Policy
links.footer.terms,Terms of Service
links.footer.copyright,Jordan Open Source Association (JOSA) © 2021—2025
links.social.github,GitHub
links.social.linkedin,LinkedIn
links.social.instagram,Instagram
settings.regionLanguage.title,Region & Language
settings.regionLanguage.language,Language
settings.regionLanguage.region,Region
settings.regionLanguage.detectedLocation,Detected Location
settings.regionLanguage.apply,Apply Changes
settings.regionLanguage.selectDialect,Select AI Dialect
misc.cancel,Cancel
misc.close,Close
misc.expandText,Expand Text Field
misc.or,or
misc.loading,Loading...
misc.retry,Try Again
misc.welcomeUser,"Welcome, {name}!"
misc.userMenu,User Menu
misc.pagination.previous,Previous
misc.pagination.next,Next
misc.pagination.page,Page {page}
misc.pagination.of,of {total}
analyze.page.title,Analyze Comments
analyze.page.subtitle,Analyze Arabic text and files to detect hate speech across regional dialects.
analyze.form.textInput,Text Input
analyze.form.fileUpload,File Upload
analyze.form.regionTitle,Region for the AI Model Dialect
analyze.form.help,Help
analyze.form.textPlaceholder,Add text
analyze.form.filePlaceholder,Upload or Drop File
analyze.form.selectedFile,Selected file: {filename}
analyze.help.title,Input Format Help
analyze.help.textInput.title,Text Input Format
analyze.help.textInput.structure,Text Structure:
analyze.help.textInput.structure-subtitle,Fields marked with * are mandatory.
analyze.help.textInput.sampleText,Write a comment in {dialect}..
analyze.help.textInput.tips,Notes:
analyze.help.textInput.tip1,Only write text in the specified dialects
analyze.help.textInput.tip2,Mixed dialects in the same text may affect accuracy
analyze.help.textInput.tip3,Use 'File Upload' if you want to analyze multiple texts
analyze.help.fileUpload.title,File Upload Requirements
analyze.help.fileUpload.supportedTypes,Supported File Types
analyze.help.fileUpload.requirements,Requirements
analyze.help.fileUpload.maxSize,"Maximum file size: 10MB"
analyze.help.fileUpload.encoding,"Text encoding: UTF-8"
analyze.help.fileUpload.content,Only 'Comment' column/property is required - all others are optional
analyze.help.fileUpload.csvFile,Comma-separated values
